,Day,Batch Semester,Room,Group,7:30 8:20,8:20 9:10,9:10 10:00,10:00 10:50,10:50 11:40,11:40 12:30,12:30 1:20,1:20 2:05,2:05 2:50
0,Sunday,022 Comp II,LB 103,A,Algebra and Geometry (YRG) LB 103,Algebra and Geometry (YRG) LB 103,Instrumentation SuB LB 203,Instrumentation SuB LB 203,BREAK,Applied Physics LB103 (RKB),Applied Physics LB103 (RKB),DSA Lab 7 GBK+JT,DSA Lab 7 GBK+JT
1,Sunday,022 Comp II,LB 103,B,Algebra and Geometry (YRG) LB 103,Algebra and Geometry (YRG) LB 103,Instrumentation SuB LB 203,Instrumentation SuB LB 203,BREAK,Applied Physics LB103 (RKB),Applied Physics LB103 (RKB),Applied Chemistry Lab,Applied Chemistry Lab
2,Sunday,022 Comp II,SC-2,C,DSA NPD-SC2,DSA NPD-SC2,OOP AG-SC2,OOP AG-SC2,BREAK,DSA Lab 2 NPD+GBK,DSA Lab 2 NPD+GBK,Instumentation Lab SuB +,Instumentation Lab SuB +
3,Sunday,022 Comp II,SC-2,D,DSA NPD-SC2,DSA NPD-SC2,OOP AG-SC2,OOP AG-SC2,BREAK,OOP Lab 6 AG+DKD,OOP Lab 6 AG+DKD,Applied Physics Lab,Applied Physics Lab
4,Sunday,"021 CMP
III ",LB 101,A,Logic Ckt (LB 101) RKP,Logic Ckt (LB 101) RKP,Math (LB 101) BPB,Math (LB 101) BPB,BREAK,DSA (LB 101) GS,DSA (LB 101) GS,EEM (LB 101) YRP,EEM (LB 101) YRP
5,Sunday,"021 CMP
III ",LB 101,B,Logic Ckt (LB 101) RKP,Logic Ckt (LB 101) RKP,Math (LB 101) BPB,Math (LB 101) BPB,BREAK,DSA (LB 101) GS,DSA (LB 101) GS,EEM (LB 101) YRP,EEM (LB 101) YRP
6,Sunday,"021 CMP
III ",LB 102,C,EDC (LB 102) AY,DSA (LB 102) JT,Logic Ckt (LB 102) DPG,Logic Ckt (LB 102) DPG,BREAK,Network Theory (Lab) BP,Network Theory (Lab) BP,Math (LB 102) BPB/UB,Math (LB 102) BPB/UB
7,Sunday,"021 CMP
III ",LB 102,D,EDC (LB 102) AY,DSA (LB 102) JT,Logic Ckt (LB 102) DPG,Logic Ckt (LB 102) DPG,BREAK,DSA (Lab 4) JT + SuB,DSA (Lab 4) JT + SuB,Math (LB 102) BPB/UB,Math (LB 102) BPB/UB
8,Sunday,"020 CMP 
 IV",LB 103,A,PT lab 1  [BM] [TCS],PT lab 1  [BM] [TCS],PT [BM] ,PT [BM] ,BREAK,Microprocessor (P) [DKC],Microprocessor (P) [DKC],DBMS  [AKJ],DBMS  [AKJ]
9,Sunday,"020 CMP 
 IV",LB 103,B,Microprocessor (P) [DKC],Microprocessor (P) [DKC],PT [BM] ,PT [BM] ,BREAK,PT lab 1 [BM] [TCS] ,PT lab 1 [BM] [TCS] ,DBMS  [AKJ],DBMS  [AKJ]
